parents,random,edges,time
10,123,143,0.0001609325408935547
10,130,150,0.00015282630920410156
10,43,63,0.00010466575622558594
10,140,160,9.799003601074219e-05
10,129,149,9.202957153320312e-05
10,113,133,8.96453857421875e-05
10,214,234,0.00011014938354492188
10,100,120,7.867813110351562e-05
10,31,51,4.458427429199219e-05
10,37,57,4.887580871582031e-05
10,119,139,9.298324584960938e-05
10,133,153,9.703636169433594e-05
10,309,329,0.00011229515075683594
10,300,320,0.00010824203491210938
10,282,302,0.00010561943054199219
10,24,44,4.6253204345703125e-05
10,347,367,0.00012540817260742188
10,119,139,0.00011372566223144531
10,76,96,6.437301635742188e-05
10,54,74,5.8650970458984375e-05
40,1243,1323,0.0008504390716552734
40,800,880,0.0005695819854736328
40,1661,1741,0.0010209083557128906
40,4105,4185,0.0017216205596923828
40,3029,3109,0.0016238689422607422
40,1560,1640,0.0009961128234863281
40,4536,4616,0.0016329288482666016
40,3998,4078,0.0016963481903076172
40,2773,2853,0.0015850067138671875
40,4099,4179,0.001615762710571289
40,5980,6060,0.0015120506286621094
40,2768,2848,0.00159454345703125
40,1639,1719,0.001051187515258789
40,3092,3172,0.001619100570678711
40,2002,2082,0.0012052059173583984
40,4570,4650,0.0015454292297363281
40,5304,5384,0.001644134521484375
40,2149,2229,0.0013339519500732422
40,6071,6151,0.001447439193725586
40,641,721,0.0005288124084472656
80,24334,24494,0.006847381591796875
80,21095,21255,0.006469011306762695
80,13450,13610,0.0065021514892578125
80,10313,10473,0.005873441696166992
80,14131,14291,0.006415843963623047
80,4511,4671,0.002895355224609375
80,20772,20932,0.0065801143646240234
80,15332,15492,0.00671839714050293
80,10215,10375,0.0058481693267822266
80,13098,13258,0.006757259368896484
80,9573,9733,0.0054302215576171875
80,20634,20794,0.0064029693603515625
80,12914,13074,0.006693124771118164
80,12318,12478,0.006598711013793945
80,22332,22492,0.00644230842590332
80,17141,17301,0.0066335201263427734
80,15002,15162,0.006548166275024414
80,976,1136,0.0012006759643554688
80,23204,23364,0.0064775943756103516
80,13509,13669,0.006621122360229492
